  0.9667000     -0.8159000
  1.4762327E-06  2.8663397E-02  1.1587826E-18
  1.4916084E-06  2.8951954E-02  1.2074029E-18
  1.5071442E-06  2.9243406E-02  1.2580629E-18
  1.5228419E-06  2.9537795E-02  1.3108481E-18
  1.5387030E-06  2.9835148E-02  1.3658484E-18
  1.5547292E-06  3.0135505E-02  1.4231565E-18
  1.5709227E-06  3.0438866E-02  1.4828689E-18
  1.5872846E-06  3.0745298E-02  1.5450873E-18
  1.6038171E-06  3.1054819E-02  1.6099163E-18
  1.6205215E-06  3.1367425E-02  1.6774636E-18
  1.6374001E-06  3.1683195E-02  1.7478467E-18
  1.6544545E-06  3.2002158E-02  1.8211833E-18
  1.6716864E-06  3.2324325E-02  1.8975962E-18
  1.6890978E-06  3.2649722E-02  1.9772142E-18
  1.7066906E-06  3.2978412E-02  2.0601744E-18
  1.7244668E-06  3.3310402E-02  2.1466152E-18
  1.7424279E-06  3.3645723E-02  2.2366817E-18
  1.7605761E-06  3.3984449E-02  2.3305293E-18
  1.7789134E-06  3.4326565E-02  2.4283130E-18
  1.7974417E-06  3.4672122E-02  2.5301989E-18
  1.8161630E-06  3.5021167E-02  2.6363617E-18
  1.8350793E-06  3.5373721E-02  2.7469777E-18
  1.8541924E-06  3.5729825E-02  2.8622343E-18
  1.8735047E-06  3.6089521E-02  2.9823277E-18
  1.8930183E-06  3.6452819E-02  3.1074589E-18
  1.9127351E-06  3.6819790E-02  3.2378418E-18
  1.9326571E-06  3.7190441E-02  3.3736938E-18
  1.9527865E-06  3.7564844E-02  3.5152467E-18
  1.9731260E-06  3.7943013E-02  3.6627409E-18
  1.9936770E-06  3.8324967E-02  3.8164186E-18
  2.0144421E-06  3.8710788E-02  3.9765488E-18
  2.0354237E-06  3.9100487E-02  4.1433965E-18
  2.0566235E-06  3.9494112E-02  4.3172442E-18
  2.0780444E-06  3.9891712E-02  4.4983889E-18
  2.0996883E-06  4.0293291E-02  4.6871313E-18
  2.1215576E-06  4.0698919E-02  4.8837930E-18
  2.1436547E-06  4.1108634E-02  5.0887064E-18
  2.1659821E-06  4.1522477E-02  5.3022195E-18
  2.1885417E-06  4.1940462E-02  5.5246847E-18
  2.2113363E-06  4.2362675E-02  5.7564888E-18
  2.2343686E-06  4.2789139E-02  5.9980198E-18
  2.2576405E-06  4.3219902E-02  6.2496833E-18
  2.2811550E-06  4.3654993E-02  6.5119082E-18
  2.3049145E-06  4.4094458E-02  6.7851326E-18
  2.3289215E-06  4.4538360E-02  7.0698242E-18
  2.3531782E-06  4.4986732E-02  7.3664603E-18
  2.3776877E-06  4.5439608E-02  7.6755396E-18
  2.4024525E-06  4.5897022E-02  7.9975867E-18
  2.4274752E-06  4.6359073E-02  8.3331490E-18
  2.4527587E-06  4.6825770E-02  8.6827908E-18
  2.4783053E-06  4.7297165E-02  9.0470994E-18
  2.5041181E-06  4.7773294E-02  9.4266958E-18
  2.5301999E-06  4.8254225E-02  9.8222222E-18
  2.5565530E-06  4.8740011E-02  1.0234342E-17
  2.5831807E-06  4.9230669E-02  1.0663752E-17
  2.6100861E-06  4.9726278E-02  1.1111183E-17
  2.6372713E-06  5.0226845E-02  1.1577379E-17
  2.6647399E-06  5.0732471E-02  1.2063139E-17
  2.6924945E-06  5.1243216E-02  1.2569290E-17
  2.7205381E-06  5.1759072E-02  1.3096668E-17
  2.7488741E-06  5.2280098E-02  1.3646172E-17
  2.7775050E-06  5.2806422E-02  1.4218742E-17
  2.8064339E-06  5.3338006E-02  1.4815323E-17
  2.8356642E-06  5.3874955E-02  1.5436941E-17
  2.8651991E-06  5.4417312E-02  1.6084640E-17
  2.8950415E-06  5.4965142E-02  1.6759525E-17
  2.9251948E-06  5.5518456E-02  1.7462712E-17
  2.9556620E-06  5.6077376E-02  1.8195411E-17
  2.9864468E-06  5.6641873E-02  1.8958844E-17
  3.0175524E-06  5.7212103E-02  1.9754329E-17
  3.0489816E-06  5.7788052E-02  2.0583177E-17
  3.0807385E-06  5.8369808E-02  2.1446806E-17
  3.1128259E-06  5.8957383E-02  2.2346658E-17
  3.1452475E-06  5.9550922E-02  2.3284286E-17
  3.1780066E-06  6.0150430E-02  2.4261242E-17
  3.2111075E-06  6.0755953E-02  2.5279194E-17
  3.2445525E-06  6.1367568E-02  2.6339846E-17
  3.2783464E-06  6.1985359E-02  2.7445019E-17
  3.3124918E-06  6.2609352E-02  2.8596544E-17
  3.3469933E-06  6.3239634E-02  2.9796399E-17
  3.3818537E-06  6.3876264E-02  3.1046590E-17
  3.4170776E-06  6.4519316E-02  3.2349244E-17
  3.4526679E-06  6.5168805E-02  3.3706531E-17
  3.4886295E-06  6.5824881E-02  3.5120812E-17
  3.5249652E-06  6.6487506E-02  3.6594388E-17
  3.5616795E-06  6.7156829E-02  3.8129804E-17
  3.5987762E-06  6.7832910E-02  3.9729660E-17
  3.6362590E-06  6.8515770E-02  4.1396611E-17
  3.6741328E-06  6.9205523E-02  4.3133545E-17
  3.7124005E-06  6.9902189E-02  4.4943320E-17
  3.7510670E-06  7.0605904E-02  4.6829044E-17
  3.7901364E-06  7.1316697E-02  4.8793902E-17
  3.8296125E-06  7.2034642E-02  5.0841197E-17
  3.8694998E-06  7.2759792E-02  5.2974377E-17
  3.9098027E-06  7.3492266E-02  5.5197067E-17
  3.9505248E-06  7.4232087E-02  5.7512994E-17
